Product Name,Sales,Contribution %,Cumulative %,ABC Class
Beds - 120,467564.82,0.01863965775383581,0.01863965775383581,A
Refrigerators - 338,463807.16000000003,0.018489857141473064,0.03712951489530887,A
Butter - 951,458374.84,0.018273295541288263,0.05540281043659713,A
Mops - 693,418713.15,0.016692166474437744,0.07209497691103488,A
Burgers - 729,408224.56,0.01627403465707752,0.0883690115681124,A
Fans - 611,402263.31,0.016036387051799918,0.10440539861991233,A
Mangoes - 912,402158.97000000003,0.016032227496147217,0.12043762611605954,A
Apples - 425,379721.59,0.015137752406911974,0.13557537852297152,A
Milk - 660,373800.17,0.014901692640446397,0.1504770711634179,A
Refrigerators - 709,373166.48,0.014876430336233627,0.16535350149965153,A
Burgers - 242,371765.51,0.014820580109256777,0.1801740816089083,A
Detergents - 618,369569.64999999997,0.01473304127587034,0.19490712288477863,A
Fries - 539,369341.06,0.014723928444485918,0.20963105132926454,A
Mops - 847,368502.08,0.014690482172667791,0.22432153350193235,A
Yogurt - 863,367740.26,0.014660111914978114,0.23898164541691047,A
Detergents - 193,363059.49,0.014473511154843032,0.2534551565717535,A
Microwaves - 157,362578.77,0.014454347060599539,0.26790950363235305,A
Tables - 865,361294.53,0.014403150321559621,0.2823126539539127,A
Tables - 578,360409.2,0.014367856288532916,0.2966805102424456,A
Fries - 621,360389.63,0.014367076122689297,0.3110475863651349,A
Washing Machines - 975,357579.2,0.014255037211504507,0.3253026235766394,A
Butter - 833,356171.72000000003,0.01419892746078509,0.3395015510374245,A
Utensils - 126,356114.14,0.014196632011154243,0.35369818304857875,A
Tables - 664,355396.01,0.014168003472713814,0.36786618652129255,A
Microwaves - 905,353933.11,0.014109684381623756,0.3819758709029163,A
Refrigerators - 538,353767.23,0.014103071509363166,0.3960789424122795,A
Yogurt - 461,353731.48,0.014101646321375968,0.4101805887336554,A
Microwaves - 808,352721.83,0.014061396222039666,0.4242419849556951,A
Tables - 722,352271.17,0.01404343048166736,0.43828541543736244,A
Utensils - 401,352184.31,0.014039967773175953,0.4523253832105384,A
Tables - 409,351229.41000000003,0.01400190030439347,0.46632728351493186,A
Beds - 256,349648.33,0.013938869920539023,0.48026615343547086,A
Butter - 893,349528.72,0.013934101620255147,0.494200255055726,A
Carrots - 694,349073.48,0.013915953296358887,0.5081162083520849,A
Microwaves - 231,348134.04,0.013878502146633243,0.5219947104987182,A
Tables - 772,347970.45,0.01387198056613463,0.5358666910648527,A
Tables - 822,347407.77,0.013849549103851116,0.5497162401687039,A
Detergents - 853,344933.33,0.013750904567822077,0.563467144736526,A
Mops - 822,344767.11,0.01374427814132608,0.5772114228778521,A
Mops - 988,344319.05,0.01372641605098921,0.5909378389288413,A
Beds - 684,342993.5,0.013673572472347862,0.6046114114011892,A
Carrots - 277,342018.15,0.013634689756171305,0.6182461011573606,A
Carrots - 945,341359.8,0.013608444371237857,0.6318545455285984,A
Microwaves - 979,341304.52,0.01360624061202297,0.6454607861406214,A
Burgers - 934,341237.19,0.01360355647475925,0.6590643426153807,A
Milk - 142,341082.06,0.013597372155529775,0.6726617147709105,A
Washing Machines - 924,340592.42,0.013577852461933947,0.6862395672328445,A
Washing Machines - 697,338861.83,0.013508861802388153,0.6997484290352327,A
Tomatoes - 570,338820.73,0.013507223334520356,0.7132556523697531,A
Tables - 396,338654.97,0.013500615246107552,0.7267562676158607,A
Beds - 451,338172.4,0.013481377400877308,0.7402376450167379,A
Mops - 707,336297.95,0.013406651705140238,0.7536442967218782,A
Burgers - 197,335311.5,0.013367326483043179,0.7670116232049213,A
Sandwiches - 524,335078.3,0.013358029872172852,0.7803696530770942,A
Pizzas - 307,333941.64999999997,0.013312716867259653,0.7936823699443538,A
Fans - 642,333850.55,0.013309085129479693,0.8069914550738335,A
Buckets - 657,332171.81,0.013242161490832814,0.8202336165646663,A
Pizzas - 211,331648.62,0.013221304313125926,0.8334549208777923,A
Tomatoes - 177,330456.67,0.013173786751689877,0.8466287076294822,A
Milk - 980,328604.02,0.01309993012163451,0.8597286377511166,A
Yogurt - 508,327711.4,0.013064345469854619,0.8727929832209712,A
Milk - 808,327695.42,0.013063708420790689,0.885856691641762,A
Pizzas - 430,327195.41,0.013043775323015079,0.898900466964777,A
Sofas - 907,326053.23,0.012998241862449597,0.9118987088272266,A
Buckets - 808,325573.01,0.012979097700905223,0.9248778065281318,A
Cheese - 361,325007.39,0.012956549034350874,0.9378343555624826,A
Fries - 682,325004.38,0.01295642903950216,0.9507907846019847,A
Fries - 123,324596.12,0.012940153592015368,0.9637309381940001,A
Carrots - 398,324338.06,0.012929865927344714,0.9766608041213448,A
Detergents - 986,324092.39,0.012920072194958295,0.9895808763163031,A
Fries - 944,323548.67,0.01289839658062547,1.0024792728969285,A
Cheese - 379,320607.93,0.012781162809395603,1.0152604357063242,A
Beds - 456,320460.45,0.012775283460462689,1.0280357191667868,A
Apples - 365,320311.88,0.012769360658245686,1.0408050798250326,A
Sofas - 672,320238.52,0.012766436132630562,1.053571515957663,A
Milk - 901,320156.16000000003,0.01276315281843125,1.0663346687760944,A
Butter - 462,320139.88,0.012762503809747847,1.0790971725858423,A
Washing Machines - 803,319766.01,0.012747599333306641,1.0918447719191489,A
Pizzas - 309,319701.48000000004,0.012745026819158007,1.1045897987383069,A
Butter - 515,319683.6,0.012744314025837412,1.1173341127641443,A
Detergents - 869,319538.25,0.012738519590202758,1.130072632354347,A
Tables - 814,318153.29,0.012683307608251778,1.1427559399625988,A
Fries - 796,318068.56,0.012679929813058627,1.1554358697756575,A
Cheese - 731,318054.66000000003,0.012679375684023048,1.1681152454596806,A
Utensils - 172,317576.27,0.012660304476157456,1.180775549935838,A
Carrots - 219,317309.71,0.012649677955601735,1.19342522789144,A
Pizzas - 854,316869.58,0.012632131997872931,1.2060573598893127,A
Refrigerators - 392,316855.44,0.01263156830114177,1.2186889281904545,A
